SaleId,Category,Product,Qty,Sale
IN-0001,Perfumes,Park Avenue Perfumes,8.0,972
IN-0002,Jeans,Lee Jeans,3.0,895
IN-0003,Shoes,Woodland Shoes,9.0,616
IN-0004,Water bottles,Kinley Water bottles,8.0,1005
IN-0005,Jeans,Pepe Jeans Jeans,2.0,653
IN-0006,Perfumes,Denver Perfumes,2.0,821
IN-0007,Perfumes,AXE Perfumes,7.0,821
IN-0008,Perfumes,AXE Perfumes,8.0,936
IN-0009,Perfumes,Wild Stone Perfumes,8.0,936
IN-0010,Smart Phone,Samsung Smart Phone,5.0,968
IN-0011,Water bottles,Tupperware Water bottles,6.0,544
IN-0012,Water bottles,Tupperware Water bottles,5.0,905
IN-0013,Perfumes,Denver Perfumes,2.0,821
IN-0014,Shoes,Bata Shoes,6.0,616
IN-0015,Jeans,Lee Jeans,6.0,653
IN-0016,Tshirts,Adidas Tshirt,9.0,1167
IN-0017,Tshirts,Peter England Tshirt,9.0,534
IN-0018,Perfumes,Park Avenue Perfumes,7.0,821
IN-0019,Jeans,Levi's Jeans,1.0,567
IN-0020,Smart Phone,Samsung Smart Phone,2.0,644
IN-0021,Jeans,Wrangler Jeans,,653
IN-0022,Jeans,Levi's Jeans,2.0,752
IN-0023,Smart Phone,Vivo Smart Phone,5.0,1063
IN-0024,Water bottles,Aquafina Water bottles,3.0,1005
IN-0025,Jeans,Mufti Jeans,5.0,1045
IN-0026,Tshirts,Nike Tshirt,10.0,534
IN-0027,Jeans,Levi's Jeans,6.0,752
IN-0028,Perfumes,Fogg Perfumes,2.0,821
IN-0029,Water bottles,Milton Water bottles,2.0,699
IN-0030,Perfumes,AXE Perfumes,7.0,972
IN-0031,Shoes,Bata Shoes,2.0,1061
IN-0032,Perfumes,Park Avenue Perfumes,8.0,821
IN-0033,Perfumes,Park Avenue Perfumes,10.0,972
IN-0034,Tshirts,Adidas Tshirt,5.0,742
IN-0035,Smart Phone,Vivo Smart Phone,6.0,644
IN-0036,Tshirts,Peter England Tshirt,9.0,1167
IN-0037,Water bottles,Cello Water bottles,1.0,699
IN-0038,Tshirts,Puma Tshirt,5.0,1068
IN-0039,Jeans,Lee Jeans,9.0,567
IN-0040,Shoes,Reebok Shoes,6.0,882
IN-0041,Jeans,Pepe Jeans Jeans,4.0,839
IN-0042,Jeans,Levi's Jeans,9.0,895
IN-0043,Tshirts,Puma Tshirt,8.0,923
IN-0044,Perfumes,Wild Stone Perfumes,3.0,1068
IN-0045,Perfumes,Denver Perfumes,3.0,821
IN-0046,Shoes,Reebok Shoes,6.0,534
IN-0047,Smart Phone,Redmi Smart Phone,10.0,1050
IN-0048,Jeans,Levi's Jeans,3.0,839
IN-0049,Water bottles,Kinley Water bottles,2.0,699
IN-0050,Tshirts,Zara Tshirt,8.0,742
IN-0051,Jeans,Pepe Jeans Jeans,8.0,839
IN-0052,Smart Phone,OnePlus Smart Phone,3.0,1063
IN-0053,Tshirts,Peter England Tshirt,6.0,1068
IN-0054,Perfumes,Wild Stone Perfumes,2.0,972
IN-0055,Perfumes,Park Avenue Perfumes,10.0,936
IN-0056,Shoes,Nike Shoes,1.0,1061
IN-0057,Water bottles,Milton Water bottles,3.0,544
IN-0058,Jeans,Pepe Jeans Jeans,5.0,1045
IN-0059,Tshirts,Adidas Tshirt,1.0,1167
IN-0060,Perfumes,Wild Stone Perfumes,5.0,821
IN-0061,Shoes,Adidas Shoes,6.0,1162
IN-0062,Jeans,Lee Jeans,1.0,653
IN-0063,Smart Phone,Samsung Smart Phone,9.0,1050
IN-0064,Jeans,Levi's Jeans,9.0,752
IN-0065,Smart Phone,Samsung Smart Phone,6.0,1050
IN-0066,Water bottles,Milton Water bottles,2.0,544
IN-0067,Shoes,Woodland Shoes,6.0,1061
IN-0068,Water bottles,Tupperware Water bottles,9.0,1005
IN-0069,Tshirts,Peter England Tshirt,4.0,1167
IN-0070,Jeans,Lee Jeans,4.0,895
IN-0071,Water bottles,Cello Water bottles,9.0,665
IN-0072,Smart Phone,Vivo Smart Phone,7.0,644
IN-0073,Smart Phone,Vivo Smart Phone,6.0,1056
IN-0074,Tshirts,Peter England Tshirt,7.0,1068
IN-0075,Perfumes,Fogg Perfumes,2.0,821
IN-0076,Shoes,Nike Shoes,6.0,757
IN-0077,Perfumes,Wild Stone Perfumes,9.0,936
IN-0078,Shoes,Woodland Shoes,,1162
IN-0079,Perfumes,Park Avenue Perfumes,8.0,1068
IN-0080,Smart Phone,Samsung Smart Phone,8.0,1063
IN-0081,Tshirts,Adidas Tshirt,,867
IN-0082,Perfumes,Wild Stone Perfumes,4.0,1068
IN-0083,Water bottles,Aquafina Water bottles,8.0,905
IN-0084,Water bottles,Kinley Water bottles,,648
IN-0085,Smart Phone,OnePlus Smart Phone,6.0,1056
IN-0086,Shoes,Nike Shoes,9.0,616
IN-0087,Smart Phone,Vivo Smart Phone,5.0,1063
IN-0088,Shoes,Bata Shoes,2.0,1061
IN-0089,Shoes,Nike Shoes,10.0,1162
IN-0090,Jeans,Levi's Jeans,7.0,839
IN-0091,Perfumes,AXE Perfumes,6.0,1068
IN-0092,Smart Phone,Samsung Smart Phone,9.0,1050
IN-0093,Water bottles,Aquafina Water bottles,7.0,1005
IN-0094,Jeans,Lee Jeans,3.0,839
IN-0095,Perfumes,Park Avenue Perfumes,2.0,1098
IN-0096,Smart Phone,iPhone Smart Phone,,1056
IN-0097,Jeans,Wrangler Jeans,8.0,839
IN-0098,Shoes,Reebok Shoes,9.0,1061
IN-0099,Tshirts,Puma Tshirt,6.0,867
IN-0100,Smart Phone,Redmi Smart Phone,3.0,830
IN-0101,Jeans,Wrangler Jeans,9.0,567
IN-0102,Smart Phone,Redmi Smart Phone,3.0,644
IN-0103,Smart Phone,Samsung Smart Phone,2.0,1050
IN-0104,Jeans,Levi's Jeans,2.0,752
IN-0105,Perfumes,Wild Stone Perfumes,7.0,821
IN-0106,Tshirts,Puma Tshirt,3.0,923
IN-0107,Water bottles,Tupperware Water bottles,8.0,699
IN-0108,Water bottles,Kinley Water bottles,8.0,544
IN-0109,Smart Phone,iPhone Smart Phone,,1056
IN-0110,Perfumes,Fogg Perfumes,3.0,821
IN-0111,Smart Phone,iPhone Smart Phone,8.0,830
IN-0112,Water bottles,Kinley Water bottles,1.0,905
IN-0113,Perfumes,Denver Perfumes,6.0,972
IN-0114,Jeans,Levi's Jeans,9.0,653
IN-0115,Shoes,Nike Shoes,8.0,534
IN-0116,Shoes,Reebok Shoes,5.0,616
IN-0117,Perfumes,Fogg Perfumes,8.0,1098
IN-0118,Smart Phone,Samsung Smart Phone,9.0,830
IN-0119,Jeans,Levi's Jeans,2.0,752
IN-0120,Jeans,Mufti Jeans,10.0,1045
IN-0121,Shoes,Adidas Shoes,4.0,1162
IN-0122,Perfumes,Wild Stone Perfumes,4.0,821
IN-0123,Perfumes,AXE Perfumes,5.0,821
IN-0124,Water bottles,Milton Water bottles,2.0,905
IN-0125,Tshirts,Puma Tshirt,1.0,1167
IN-0126,Tshirts,Puma Tshirt,2.0,867
IN-0127,Water bottles,Cello Water bottles,7.0,648
IN-0128,Jeans,Levi's Jeans,4.0,839
IN-0129,Jeans,Wrangler Jeans,1.0,1045
IN-0130,Water bottles,Tupperware Water bottles,3.0,905
IN-0131,Water bottles,Kinley Water bottles,7.0,1005
IN-0132,Shoes,Adidas Shoes,9.0,1061
IN-0133,Water bottles,Kinley Water bottles,10.0,544
IN-0134,Shoes,Bata Shoes,5.0,882
IN-0135,Water bottles,Aquafina Water bottles,6.0,665
IN-0136,Tshirts,Puma Tshirt,1.0,867
IN-0137,Jeans,Wrangler Jeans,10.0,567
IN-0138,Tshirts,Peter England Tshirt,10.0,742
IN-0139,Jeans,Mufti Jeans,9.0,567
IN-0140,Perfumes,AXE Perfumes,7.0,821
IN-0141,Perfumes,Fogg Perfumes,7.0,972
IN-0142,Smart Phone,OnePlus Smart Phone,3.0,644
IN-0143,Smart Phone,Samsung Smart Phone,6.0,1050
IN-0144,Jeans,Mufti Jeans,10.0,895
IN-0145,Shoes,Bata Shoes,3.0,882
IN-0146,Smart Phone,Vivo Smart Phone,10.0,1063
IN-0147,Perfumes,Denver Perfumes,5.0,1068
IN-0148,Jeans,Lee Jeans,5.0,1045
IN-0149,Water bottles,Cello Water bottles,6.0,648
IN-0150,Shoes,Nike Shoes,2.0,882
IN-0151,Shoes,Reebok Shoes,6.0,534
IN-0152,Jeans,Mufti Jeans,4.0,653
IN-0153,Perfumes,Fogg Perfumes,7.0,821
IN-0154,Water bottles,Milton Water bottles,1.0,1005
IN-0155,Water bottles,Tupperware Water bottles,2.0,699
IN-0156,Tshirts,Peter England Tshirt,5.0,1068
IN-0157,Water bottles,Tupperware Water bottles,9.0,648
IN-0158,Smart Phone,Vivo Smart Phone,10.0,968
IN-0159,Water bottles,Tupperware Water bottles,9.0,1005
IN-0160,Tshirts,Zara Tshirt,,1068
IN-0161,Perfumes,Fogg Perfumes,3.0,972
IN-0162,Shoes,Reebok Shoes,4.0,534
IN-0163,Shoes,Bata Shoes,7.0,1162
IN-0164,Tshirts,Peter England Tshirt,7.0,534
IN-0165,Shoes,Adidas Shoes,4.0,1162
IN-0166,Smart Phone,Redmi Smart Phone,5.0,644
IN-0167,Jeans,Lee Jeans,10.0,895
IN-0168,Shoes,Adidas Shoes,10.0,882
IN-0169,Shoes,Nike Shoes,2.0,757
IN-0170,Tshirts,Peter England Tshirt,1.0,534
IN-0171,Perfumes,AXE Perfumes,1.0,972
IN-0172,Perfumes,Park Avenue Perfumes,8.0,972
IN-0173,Tshirts,Nike Tshirt,1.0,742
IN-0174,Tshirts,Puma Tshirt,7.0,923
IN-0175,Tshirts,Adidas Tshirt,6.0,867
IN-0176,Smart Phone,Samsung Smart Phone,7.0,830
IN-0177,Perfumes,Fogg Perfumes,8.0,936
IN-0178,Perfumes,Wild Stone Perfumes,1.0,1098
IN-0179,Tshirts,Zara Tshirt,3.0,923
