SaleId,Category,Product,Qty,Sale
GE-0001,Jeans,Levi's Jeans,3.0,6.24
GE-0002,Jeans,Mufti Jeans,4.0,8.27
GE-0003,Shoes,Nike Shoes,6.0,5.87
GE-0004,Water bottles,Tupperware Water bottles,6.0,7.31
GE-0005,Shoes,Adidas Shoes,,6.78
GE-0006,Shoes,Nike Shoes,1.0,12.78
GE-0007,Water bottles,Milton Water bottles,5.0,7.13
GE-0008,Smart Phone,iPhone Smart Phone,8.0,11.55
GE-0009,Smart Phone,Redmi Smart Phone,2.0,7.08
GE-0010,Perfumes,Wild Stone Perfumes,9.0,9.03
GE-0011,Jeans,Lee Jeans,3.0,7.18
GE-0012,Tshirts,Puma Tshirt,8.0,9.54
GE-0013,Shoes,Nike Shoes,10.0,6.78
GE-0014,Jeans,Levi's Jeans,1.0,11.49
GE-0015,Shoes,Bata Shoes,10.0,11.67
GE-0016,Jeans,Levi's Jeans,8.0,9.23
GE-0017,Smart Phone,Redmi Smart Phone,,11.62
GE-0018,Smart Phone,iPhone Smart Phone,5.0,10.65
GE-0019,Water bottles,Milton Water bottles,1.0,7.13
GE-0020,Water bottles,Tupperware Water bottles,5.0,7.69
GE-0021,Perfumes,Wild Stone Perfumes,4.0,9.03
GE-0022,Water bottles,Kinley Water bottles,10.0,7.69
GE-0023,Shoes,Woodland Shoes,7.0,9.7
GE-0024,Water bottles,Cello Water bottles,8.0,5.98
GE-0025,Smart Phone,iPhone Smart Phone,8.0,7.08
GE-0026,Water bottles,Tupperware Water bottles,5.0,11.05
GE-0027,Jeans,Lee Jeans,1.0,8.27
GE-0028,Water bottles,Cello Water bottles,1.0,7.31
GE-0029,Shoes,Woodland Shoes,3.0,12.78
GE-0030,Jeans,Mufti Jeans,8.0,8.27
GE-0031,Water bottles,Cello Water bottles,2.0,9.96
GE-0032,Water bottles,Milton Water bottles,3.0,7.69
GE-0033,Water bottles,Kinley Water bottles,9.0,7.13
GE-0034,Water bottles,Kinley Water bottles,8.0,11.05
GE-0035,Tshirts,Peter England Tshirt,9.0,9.54
GE-0036,Water bottles,Aquafina Water bottles,6.0,7.13
GE-0037,Smart Phone,Vivo Smart Phone,1.0,11.62
GE-0038,Jeans,Wrangler Jeans,7.0,7.18
GE-0039,Water bottles,Kinley Water bottles,9.0,7.69
GE-0040,Water bottles,Milton Water bottles,4.0,9.96
GE-0041,Smart Phone,Vivo Smart Phone,1.0,11.55
GE-0042,Water bottles,Aquafina Water bottles,3.0,7.69
GE-0043,Water bottles,Tupperware Water bottles,7.0,7.13
GE-0044,Shoes,Adidas Shoes,9.0,11.67
GE-0045,Shoes,Woodland Shoes,9.0,11.67
GE-0046,Tshirts,Adidas Tshirt,5.0,10.15
GE-0047,Water bottles,Cello Water bottles,,7.13
GE-0048,Jeans,Lee Jeans,1.0,9.23
GE-0049,Tshirts,Zara Tshirt,10.0,11.75
GE-0050,Perfumes,AXE Perfumes,7.0,10.3
GE-0051,Tshirts,Adidas Tshirt,7.0,12.84
GE-0052,Jeans,Pepe Jeans Jeans,2.0,7.18
GE-0053,Perfumes,AXE Perfumes,2.0,11.75
GE-0054,Shoes,Adidas Shoes,10.0,5.87
GE-0055,Shoes,Reebok Shoes,8.0,11.67
GE-0056,Jeans,Levi's Jeans,5.0,11.49
GE-0057,Perfumes,Wild Stone Perfumes,8.0,12.08
GE-0058,Tshirts,Adidas Tshirt,9.0,11.75
GE-0059,Smart Phone,iPhone Smart Phone,2.0,10.65
GE-0060,Shoes,Nike Shoes,10.0,12.78
GE-0061,Water bottles,Kinley Water bottles,8.0,7.69
GE-0062,Perfumes,Park Avenue Perfumes,10.0,9.03
GE-0063,Tshirts,Zara Tshirt,3.0,8.16
GE-0064,Perfumes,Denver Perfumes,5.0,12.08
