SaleId,Category,Product,Qty,Sale
JA-0001,Shoes,Reebok Shoes,10.0,880.88
JA-0002,Perfumes,Wild Stone Perfumes,1.0,1174.03
JA-0003,Shoes,Reebok Shoes,,1661.66
JA-0004,Water bottles,Tupperware Water bottles,5.0,950.95
JA-0005,Tshirts,Peter England Tshirt,2.0,1319.89
JA-0006,Jeans,Wrangler Jeans,8.0,1075.36
JA-0007,Smart Phone,Redmi Smart Phone,6.0,1501.5
JA-0008,Smart Phone,Samsung Smart Phone,2.0,1501.5
JA-0009,Jeans,Lee Jeans,1.0,1199.77
JA-0010,Jeans,Pepe Jeans Jeans,8.0,1279.85
JA-0011,Shoes,Bata Shoes,4.0,1661.66
JA-0012,Smart Phone,Redmi Smart Phone,1.0,1186.9
JA-0013,Shoes,Reebok Shoes,5.0,763.62
JA-0014,Shoes,Adidas Shoes,3.0,1261.26
JA-0015,Tshirts,Nike Tshirt,6.0,1527.24
JA-0016,Perfumes,Fogg Perfumes,8.0,1174.03
JA-0017,Shoes,Bata Shoes,3.0,1261.26
JA-0018,Water bottles,Kinley Water bottles,8.0,999.57
JA-0019,Shoes,Woodland Shoes,1.0,1261.26
JA-0020,Shoes,Woodland Shoes,5.0,1082.51
JA-0021,Jeans,Mufti Jeans,4.0,1494.35
JA-0022,Shoes,Reebok Shoes,8.0,880.88
JA-0023,Shoes,Adidas Shoes,10.0,1261.26
JA-0024,Smart Phone,Redmi Smart Phone,9.0,1501.5
JA-0025,Jeans,Mufti Jeans,9.0,933.79
JA-0026,Tshirts,Nike Tshirt,7.0,1319.89
JA-0027,Jeans,Pepe Jeans Jeans,3.0,1279.85
JA-0028,Jeans,Lee Jeans,7.0,1494.35
JA-0029,Perfumes,Park Avenue Perfumes,3.0,1174.03
JA-0030,Perfumes,AXE Perfumes,2.0,1174.03
JA-0031,Water bottles,Milton Water bottles,10.0,950.95
JA-0032,Perfumes,Fogg Perfumes,7.0,1527.24
JA-0033,Water bottles,Aquafina Water bottles,5.0,1294.15
JA-0034,Shoes,Reebok Shoes,2.0,1261.26
JA-0035,Smart Phone,iPhone Smart Phone,7.0,920.92
JA-0036,Jeans,Wrangler Jeans,5.0,933.79
JA-0037,Shoes,Adidas Shoes,7.0,1261.26
JA-0038,Perfumes,AXE Perfumes,,1174.03
JA-0039,Perfumes,Wild Stone Perfumes,4.0,1174.03
JA-0040,Shoes,Nike Shoes,3.0,1517.23
JA-0041,Perfumes,Wild Stone Perfumes,,1570.14
JA-0042,Perfumes,AXE Perfumes,8.0,1389.96
JA-0043,Perfumes,AXE Perfumes,3.0,1174.03
JA-0044,Tshirts,Nike Tshirt,6.0,763.62
JA-0045,Perfumes,Fogg Perfumes,5.0,1338.48
JA-0046,Smart Phone,Vivo Smart Phone,9.0,1186.9
JA-0047,Tshirts,Puma Tshirt,2.0,1668.81
JA-0048,Jeans,Levi's Jeans,10.0,810.81
JA-0049,Smart Phone,iPhone Smart Phone,8.0,920.92
JA-0050,Tshirts,Nike Tshirt,2.0,1527.24
JA-0051,Tshirts,Nike Tshirt,,1239.81
JA-0052,Perfumes,Park Avenue Perfumes,5.0,1389.96
JA-0053,Tshirts,Puma Tshirt,5.0,1668.81
JA-0054,Tshirts,Puma Tshirt,5.0,1319.89
JA-0055,Tshirts,Puma Tshirt,7.0,763.62
JA-0056,Smart Phone,OnePlus Smart Phone,1.0,1520.09
JA-0057,Jeans,Pepe Jeans Jeans,6.0,1494.35
JA-0058,Smart Phone,OnePlus Smart Phone,6.0,1384.24
JA-0059,Jeans,Lee Jeans,3.0,1494.35
JA-0060,Shoes,Adidas Shoes,10.0,1661.66
JA-0061,Jeans,Wrangler Jeans,1.0,1199.77
JA-0062,Smart Phone,iPhone Smart Phone,4.0,1520.09
JA-0063,Water bottles,Tupperware Water bottles,2.0,950.95
JA-0064,Water bottles,Kinley Water bottles,5.0,999.57
JA-0065,Jeans,Wrangler Jeans,4.0,1199.77
JA-0066,Perfumes,Wild Stone Perfumes,4.0,1570.14
JA-0067,Jeans,Mufti Jeans,7.0,1494.35
JA-0068,Smart Phone,Samsung Smart Phone,3.0,1186.9
JA-0069,Shoes,Adidas Shoes,3.0,1261.26
JA-0070,Water bottles,Tupperware Water bottles,10.0,1437.15
JA-0071,Water bottles,Tupperware Water bottles,8.0,777.92
JA-0072,Water bottles,Tupperware Water bottles,9.0,999.57
JA-0073,Perfumes,Fogg Perfumes,3.0,1570.14
JA-0074,Perfumes,Denver Perfumes,4.0,1389.96
JA-0075,Perfumes,AXE Perfumes,9.0,1570.14
JA-0076,Smart Phone,Samsung Smart Phone,1.0,920.92
JA-0077,Water bottles,Tupperware Water bottles,3.0,777.92
JA-0078,Smart Phone,OnePlus Smart Phone,5.0,1186.9
JA-0079,Shoes,Nike Shoes,4.0,1261.26
JA-0080,Jeans,Mufti Jeans,6.0,1279.85
JA-0081,Water bottles,Tupperware Water bottles,1.0,999.57
JA-0082,Smart Phone,Redmi Smart Phone,7.0,920.92
JA-0083,Water bottles,Cello Water bottles,5.0,1294.15
JA-0084,Shoes,Reebok Shoes,2.0,880.88
JA-0085,Shoes,Woodland Shoes,6.0,1261.26
JA-0086,Water bottles,Aquafina Water bottles,4.0,999.57
JA-0087,Smart Phone,Redmi Smart Phone,6.0,1186.9
JA-0088,Tshirts,Zara Tshirt,9.0,1239.81
JA-0089,Shoes,Reebok Shoes,7.0,1517.23
JA-0090,Water bottles,Milton Water bottles,3.0,777.92
JA-0091,Water bottles,Cello Water bottles,8.0,926.64
JA-0092,Tshirts,Adidas Tshirt,1.0,763.62
JA-0093,Jeans,Pepe Jeans Jeans,7.0,1494.35
JA-0094,Jeans,Levi's Jeans,6.0,1494.35
JA-0095,Tshirts,Peter England Tshirt,10.0,1061.06
JA-0096,Water bottles,Milton Water bottles,3.0,926.64
JA-0097,Shoes,Bata Shoes,6.0,763.62
JA-0098,Tshirts,Zara Tshirt,3.0,763.62
JA-0099,Water bottles,Cello Water bottles,2.0,777.92
JA-0100,Jeans,Levi's Jeans,6.0,1494.35
JA-0101,Tshirts,Nike Tshirt,2.0,1527.24
JA-0102,Jeans,Pepe Jeans Jeans,6.0,1494.35
