SaleId,Category,Product,Qty,Sale
QA-0001,Smart Phone,Samsung Smart Phone,3.0,435.6
QA-0002,Smart Phone,Samsung Smart Phone,4.0,475.2
QA-0003,Tshirts,Nike Tshirt,9.0,240.3
QA-0004,Water bottles,Aquafina Water bottles,2.0,407.25
QA-0005,Jeans,Mufti Jeans,9.0,293.85
QA-0006,Water bottles,Tupperware Water bottles,9.0,407.25
QA-0007,Tshirts,Nike Tshirt,5.0,390.15
QA-0008,Jeans,Mufti Jeans,5.0,293.85
QA-0009,Perfumes,Fogg Perfumes,10.0,480.6
QA-0010,Tshirts,Puma Tshirt,2.0,415.35
QA-0011,Shoes,Reebok Shoes,8.0,340.65
QA-0012,Shoes,Reebok Shoes,2.0,240.3
QA-0013,Smart Phone,iPhone Smart Phone,6.0,435.6
QA-0014,Shoes,Reebok Shoes,9.0,522.9
QA-0015,Smart Phone,OnePlus Smart Phone,10.0,475.2
QA-0016,Perfumes,Fogg Perfumes,7.0,437.4
QA-0017,Water bottles,Kinley Water bottles,2.0,244.8
QA-0018,Tshirts,Peter England Tshirt,,480.6
QA-0019,Perfumes,Park Avenue Perfumes,2.0,480.6
QA-0020,Tshirts,Peter England Tshirt,9.0,390.15
QA-0021,Perfumes,Fogg Perfumes,7.0,437.4
QA-0022,Tshirts,Peter England Tshirt,5.0,480.6
QA-0023,Smart Phone,Samsung Smart Phone,9.0,472.5
QA-0024,Water bottles,Kinley Water bottles,2.0,291.6
QA-0025,Tshirts,Peter England Tshirt,8.0,480.6
QA-0026,Perfumes,Wild Stone Perfumes,8.0,369.45
QA-0027,Jeans,Mufti Jeans,3.0,293.85
QA-0028,Jeans,Mufti Jeans,5.0,470.25
QA-0029,Jeans,Wrangler Jeans,7.0,293.85
QA-0030,Smart Phone,Samsung Smart Phone,8.0,435.6
QA-0031,Water bottles,Tupperware Water bottles,3.0,244.8
QA-0032,Tshirts,Puma Tshirt,9.0,415.35
QA-0033,Water bottles,Kinley Water bottles,7.0,452.25
QA-0034,Jeans,Wrangler Jeans,2.0,377.55
QA-0035,Jeans,Levi's Jeans,7.0,470.25
QA-0036,Jeans,Levi's Jeans,5.0,470.25
QA-0037,Perfumes,Wild Stone Perfumes,8.0,421.2
QA-0038,Smart Phone,Samsung Smart Phone,6.0,478.35
QA-0039,Shoes,Reebok Shoes,9.0,396.9
QA-0040,Smart Phone,Samsung Smart Phone,6.0,289.8
QA-0041,Jeans,Wrangler Jeans,9.0,293.85
QA-0042,Shoes,Bata Shoes,10.0,240.3
QA-0043,Smart Phone,iPhone Smart Phone,8.0,472.5
QA-0044,Perfumes,AXE Perfumes,3.0,369.45
QA-0045,Water bottles,Aquafina Water bottles,5.0,299.25
QA-0046,Smart Phone,Samsung Smart Phone,9.0,472.5
QA-0047,Jeans,Wrangler Jeans,9.0,338.4
QA-0048,Shoes,Bata Shoes,4.0,522.9
QA-0049,Water bottles,Tupperware Water bottles,8.0,244.8
QA-0050,Shoes,Bata Shoes,2.0,477.45
QA-0051,Jeans,Lee Jeans,7.0,377.55
QA-0052,Water bottles,Tupperware Water bottles,1.0,314.55
QA-0053,Tshirts,Nike Tshirt,3.0,480.6
QA-0054,Shoes,Bata Shoes,7.0,396.9
QA-0055,Tshirts,Zara Tshirt,8.0,333.9
QA-0056,Water bottles,Cello Water bottles,8.0,299.25
QA-0057,Shoes,Reebok Shoes,7.0,477.45
QA-0058,Jeans,Wrangler Jeans,3.0,293.85
QA-0059,Water bottles,Aquafina Water bottles,2.0,314.55
QA-0060,Perfumes,Fogg Perfumes,5.0,369.45
QA-0061,Shoes,Reebok Shoes,8.0,277.2
QA-0062,Smart Phone,Samsung Smart Phone,6.0,373.5
QA-0063,Water bottles,Milton Water bottles,2.0,407.25
QA-0064,Water bottles,Milton Water bottles,9.0,314.55
QA-0065,Perfumes,Park Avenue Perfumes,6.0,369.45
QA-0066,Tshirts,Adidas Tshirt,8.0,525.15
QA-0067,Shoes,Adidas Shoes,7.0,277.2
QA-0068,Tshirts,Adidas Tshirt,10.0,525.15
QA-0069,Jeans,Levi's Jeans,,293.85
QA-0070,Shoes,Nike Shoes,4.0,240.3
QA-0071,Water bottles,Kinley Water bottles,6.0,452.25
QA-0072,Water bottles,Kinley Water bottles,9.0,314.55
QA-0073,Shoes,Reebok Shoes,9.0,477.45
QA-0074,Tshirts,Peter England Tshirt,3.0,240.3
QA-0075,Perfumes,Denver Perfumes,3.0,369.45
QA-0076,Water bottles,Milton Water bottles,6.0,291.6
QA-0077,Tshirts,Zara Tshirt,10.0,415.35
QA-0078,Water bottles,Aquafina Water bottles,6.0,452.25
QA-0079,Jeans,Mufti Jeans,5.0,377.55
QA-0080,Jeans,Mufti Jeans,3.0,293.85
QA-0081,Perfumes,Fogg Perfumes,6.0,369.45
QA-0082,Shoes,Woodland Shoes,7.0,277.2
QA-0083,Jeans,Wrangler Jeans,3.0,377.55
QA-0084,Water bottles,Cello Water bottles,2.0,291.6
QA-0085,Tshirts,Puma Tshirt,7.0,480.6
QA-0086,Tshirts,Peter England Tshirt,1.0,390.15
QA-0087,Tshirts,Peter England Tshirt,2.0,390.15
QA-0088,Perfumes,Park Avenue Perfumes,9.0,369.45
QA-0089,Water bottles,Aquafina Water bottles,10.0,299.25
QA-0090,Shoes,Woodland Shoes,10.0,277.2
QA-0091,Shoes,Adidas Shoes,2.0,396.9
QA-0092,Water bottles,Cello Water bottles,8.0,314.55
QA-0093,Perfumes,AXE Perfumes,8.0,494.1
QA-0094,Jeans,Pepe Jeans Jeans,8.0,338.4
